Classification of the sciences (Peirce),Knowledge Ontology
A) Science of Discovery,Science
B) Science of Review,Religion
C) Practical Science - Arts,Arts
(AI) Mathematics,Mathematics
(AII) Cenoscopy - Philosophia prima,Phylosophy
(AIII) Idioscopy - Special sciences,Pure Theory
"(AIIa) Phenomenology (1903,1909) - Categorics (1902) - Phaneroscopy (1905)",Phylosophy
(AIIb) Normative Sciences,Phylosophy
(AIIc) Metaphysics,Phylosophy
(AIIIa) Physical Sciences - Physiognosy,Physics
(AIIIb) Psychical (or Human) Sciences - Psychognosy,Biology
(ii) Linguistics,Languages
religion,Religion
